Course,Description,Full,Instructor,Days,Time,Location,Capacity
LING    199  ,INDEPENDENT STUDIES,,T B A,,,T B A,0 / 10
MATRL   101  ,INTRO STRUCT & PROP,Full,PITENIS A A,MTWR,11:00am - 12:20pm,PHELP1417,28 / 28
MATRL   101  ,,Full,,F,11:00am - 11:50am,PHELP1417,28 / 28
MATH      3A ,CALC WITH APPLI 1,,SARAJIAN G P,MTWR,11:00am - 12:05pm,GIRV 2128,22 / 50
MATH      3A ,,,GONZALES D M,M W,2:00pm - 2:50pm,HSSB 1224,18 / 25
MATH      3A ,,,GONZALES D M,M W,3:00pm - 3:50pm,HSSB 1215,4 / 25
MATH      3A ,CALC WITH APPLI 1,,BAGHERI A R,MTWR,11:00am - 12:05pm,SH   1430,32 / 50
MATH      3A ,,,SEHAYEK S B,M W,2:00pm - 2:50pm,HSSB 1227,17 / 25
MATH      3A ,,,SEHAYEK S B,M W,3:00pm - 3:50pm,HSSB 1231,15 / 25
MATH      3B ,CALC WITH APPLI 2,,LAINEZ REYES,MTWRF,9:00 am - 10:10am,GIRV 2115,20 / 35
MATH      3B ,CALC WITH APPLI 2,,KALAULI A K,MTWR,2:00pm - 3:05pm,PHELP1260,71 / 75
MATH      3B ,,Full,PARKER M,T R,3:30pm - 4:20pm,HSSB 1210,25 / 25
MATH      3B ,,,ROGERS J J,M W,3:30pm - 4:20pm,HSSB 1207,23 / 25
MATH      3B ,,,PARKER M,T R,4:30pm - 5:20pm,HSSB 1206,23 / 25
MATH      4A ,LIN ALG W/APPS,,PABLO S R,MTWR,9:30 am - 10:35am,BUCHN1930,81 / 100
MATH      4A ,,,PARKER M,M W,2:30pm - 3:20pm,HSSB 1206,20 / 25
MATH      4A ,,,PARKER M,M W,1:30pm - 2:20pm,HSSB 1223,12 / 25
MATH      4A ,,Full,PARKER M,T R,11:30am - 12:20pm,HSSB 2251,25 / 25
MATH      4A ,,,PARKER M,T R,12:30pm - 1:20pm,HSSB 1237,24 / 25
MATH      4A ,LIN ALG W/APPS,Full,TRISAL A V,MTWR,12:30pm - 1:35pm,BUCHN1940,100 / 100
MATH      4A ,,Full,FROST G A,M W,3:30pm - 4:20pm,HSSB 1206,26 / 25
MATH      4A ,,Full,FROST G A,M W,2:30pm - 3:20pm,HSSB 1233,25 / 25
MATH      4A ,,Full,FROST G A,T R,3:30pm - 4:20pm,HSSB 1207,25 / 25
MATH      4A ,,,FROST G A,T R,2:30pm - 3:20pm,HSSB 1227,24 / 25
MATH      4B ,DIFF EQUATIONS,,ROBINETT E L,MTWR,2:00pm - 3:05pm,CHEM 1171,71 / 100
MATH      4B ,,,BALKIN R A,T R,9:30 am - 10:20am,HSSB 1231,19 / 25
MATH      4B ,,,BALKIN R A,T R,10:30am - 11:20am,HSSB 1233,12 / 25
MATH      4B ,,,BALKIN R A,T R,11:30am - 12:20pm,HSSB 1237,18 / 25
MATH      4B ,,,BALKIN R A,T R,12:30pm - 1:20pm,HSSB 1214,22 / 25
MATH      4B ,DIFF EQUATIONS,Full,NGUYEN D,MTWR,11:00am - 12:05pm,BUCHN1930,102 / 100
MATH      4B ,,Full,HALMRAST D M,T R,12:30pm - 1:20pm,HSSB 1215,26 / 25
MATH      4B ,,Full,VANDEVEER J B,T R,3:30pm - 4:20pm,HSSB 1206,25 / 25
MATH      4B ,,Full,HALMRAST D M,T R,1:30pm - 2:20pm,HSSB 1227,26 / 25
MATH      4B ,,Full,VANDEVEER J B,T R,2:30pm - 3:20pm,HSSB 1224,25 / 25
MATH      6A ,VECTOR CALCULUS 1,,EBRAHIM E,MTWR,2:00pm - 3:05pm,BUCHN1930,94 / 100
MATH      6A ,,,ROGERS J J,M W,12:30pm - 1:20pm,HSSB 1210,23 / 25
MATH      6A ,,,SCHULTE A J,M W,9:30 am - 10:20am,HSSB 1237,23 / 25
MATH      6A ,,,ROGERS J J,T R,11:30am - 12:20pm,HSSB 1227,23 / 25
MATH      6A ,,Full,SCHULTE A J,M W,10:30am - 11:20am,HSSB 1231,25 / 25
MATH      6A ,VECTOR CALCULUS 1,Full,LU D,MTWR,3:30pm - 4:35pm,BUCHN1930,100 / 100
MATH      6A ,,Full,MCGRATH G P,T R,10:30am - 11:20am,HSSB 1232,25 / 25
MATH      6A ,,Full,MCGRATH G P,T R,12:30pm - 1:20pm,HSSB 1214,25 / 25
MATH      6A ,,Full,MCGRATH G P,T R,11:30am - 12:20pm,HSSB 1232,25 / 25
MATH      6A ,,Full,MCGRATH G P,T R,1:30pm - 2:20pm,HSSB 1215,25 / 25
MATH      6A ,VECTOR CALCULUS 1,,EPELBAUM D P,MTWRF,12:30pm - 1:40pm,GIRV 1116,34 / 35
MATH      6B ,VECTOR CALCULUS 2,,FROST G A,MTWRF,2:00pm - 3:10pm,GIRV 2108,31 / 35
MATH      6B ,VECTOR CALCULUS 2,,MARTINS RODRI,MTWR,12:30pm - 1:35pm,PSYCH1924,93 / 100
MATH      6B ,,Full,GONZALEZ N,T R,2:30pm - 3:20pm,HSSB 1215,25 / 25
MATH      6B ,,Full,GONZALEZ N,T R,3:30pm - 4:20pm,BUCHN1934,25 / 25
MATH      6B ,,Full,ROBINETT E L,M W,4:00pm - 4:50pm,BUCHN1934,25 / 25
MATH      6B ,,,ROBINETT E L,M W,3:00pm - 3:50pm,HSSB 1227,18 / 25
MATH      8  ,TRANS HIGHER MATH,Full,PORTER M J,M W F,11:00am - 11:50am,NH   1111,38 / 35
MATH      8  ,,Full,WELLS S B,T R,11:00am - 11:50am,HSSB 2201,20 / 18
MATH      8  ,,Full,WELLS S B,T R,12:30pm - 1:20pm,HSSB 3202,18 / 17
MATH      8  ,TRANS HIGHER MATH,Full,PORTER M J,M W F,2:00pm - 2:50pm,PHELP2514,36 / 35
MATH      8  ,,Full,REYES M A,T R,2:00pm - 2:50pm,HSSB 2201,18 / 18
MATH      8  ,,Full,REYES M A,T R,3:30pm - 4:20pm,HSSB 3202,18 / 17
MATH     34A ,CALC FOR SOCIAL SCI,,HALMRAST D M,MTWR,12:30pm - 1:35pm,SH   1430,28 / 50
MATH     34A ,,,MERKL K E,M W,3:30pm - 4:20pm,HSSB 1214,5 / 25
MATH     34A ,,,MERKL K E,M W,2:30pm - 3:20pm,HSSB 1207,23 / 25
MATH     34A ,CALC FOR SOCIAL SCI,Full,GALAZ-GARCIA,MTWRF,12:30pm - 1:40pm,PHELP2536,35 / 35
MATH     34B ,CALC-SOC & LIFE SCI,,HIGGINS V B,MTWRF,12:30pm - 1:40pm,PHELP1444,26 / 35
MATH     34B ,CALC-SOC & LIFE SCI,,SHIFLEY T H,MTWRF,9:30 am - 10:40am,GIRV 1115,31 / 35
MATH    100A ,MATH ELEM TEACH I,,MENDOZA M D,MTWRF,9:00 am - 11:00am,ED   1215,30 / 35
MATH    100B ,MATH ELEM TEACH II,,MENDOZA M D,MTWRF,9:00 am - 11:00am,ED   1215,30 / 35
MATH    108A ,INTRO TO LINEAR ALG,Full,CASTEELS K L,MTWR,11:00am - 12:05pm,ARTS 1349,53 / 50
MATH    108B ,ADV LINEAR ALG,Full,YE R,MTWR,11:00am - 12:05pm,ARTS 1349,50 / 50
MATH    117  ,METHODS OF ANALYSIS,,CASTEELS K L,MTWR,12:30pm - 1:35pm,ARTS 1349,42 / 50
MATH    117  ,METHODS OF ANALYSIS,Full,HARUTYUNYAN D,MTWR,12:30pm - 1:35pm,ARTS 1353,50 / 50
MATH    122A ,INTRO COMPLX VARIAB,,AKEMANN C A,MTWR,9:30 am - 10:35am,BUCHN1940,78 / 100
MATH    122B ,INTRO COMPLX VARIAB,,OGRAIN C M,MTWR,9:30 am - 10:35am,PHELP1440,34 / 35
MATH    124A ,PART DIFF EQUATIONS,,AVETISYAN Z,MTWR,11:00am - 12:05pm,SH   1430,17 / 50
MATH    124B ,FOURIER SER & NUM,,LABUTIN D A,MTWR,11:00am - 12:05pm,PHELP1444,8 / 35
MATH    193  ,INTERN IN MATH,,T B A,,,T B A,0 / 10
MATH    197A ,SENIOR THESIS,Full,T B A,,,T B A,0 / 0
MATH    197B ,SENIOR THESIS,,T B A,,,T B A,0 / 10
MATH    199  ,INDEPENDENT STUDIES,,T B A,,,T B A,0 / 10
MATH    199RA,IND RES ASSIST MATH,,T B A,,,T B A,0 / 10
ME       14  ,STATICS,,MATCHEN T D,MTWR,12:30pm - 1:50pm,PHELP2532,9 / 30
ME       14  ,,,WU TIE,F,12:30pm - 1:50pm,GIRV 2124,9 / 30
ME       15  ,STRENGTH-MATERIALS,,BELTZ G,MTWR,9:30 am - 10:50am,GIRV 1112,12 / 30
ME       15  ,,,AHMADIKIA B,F,9:30 am - 10:50am,GIRV 1112,12 / 30
ME       16  ,ENGR MECH: DYNAMICS,,MOEHLIS J M,MTWR,11:00am - 12:20pm,PHELP1445,16 / 30
ME       16  ,,,HAGGERTY D A,F,11:00am - 12:20pm,PHELP2532,16 / 30
ME       95  ,INTRO TO MECH ENGR,,T B A,,,T B A,0 / 35
ME       97  ,DESIGN PROJECTS,,T B A,,,T B A,0 / 35
ME       99  ,INTRO RESEARCH,,T B A,,,T B A,0 / 35
ME      125MS,SP TOPICS MECH ENGR,,SPRANKLE M,MT R,4:30pm - 6:30pm,SSMS 1301,18 / 25
ME      125MS,,,AREYANO M,W,4:30pm - 6:30pm,SSMS 1301,18 / 25
ME      163  ,ENGR MECH: VBRTIONS,,MOEHLIS J M,MTWR,2:00pm - 3:05pm,ENGR22243,6 / 20
ME      179L ,ROBOTICS: DESIGN,,HARE C,MTWRF,10:30am - 12:20pm,ENGR22133,10 / 22
ME      197  ,IND STUDIES DESIGN,,T B A,,,T B A,0 / 30
ME      199  ,INDEP STUDIES IN ME,,T B A,,,T B A,0 / 20
MES      45  ,INTRO MID  EAST ST,,T B A,MTWR,5:00pm - 6:20pm,GIRV 1108,17 / 20
MCDB      1A ,INTRO BIOLOGY I,,"['GONZALEZ NINO', 'ZIRRETTA L']",MTWR,12:30pm - 1:55pm,BUCHN1910,236 / 303
MCDB      1B ,INTRO BIOLOGY II--P,,LOW S H,MTW,12:30pm - 1:55pm,BUCHN1910,193 / 303
MCDB      1LL,INTRO BIOLOGY LAB I,Closed,"['NGUYEN A T', 'CHRISTOFFERSE', 'FINKELSTEIN R', 'CHICK B Y']",T,9:00 am - 11:50am,BSIF 2211,14 / 20
MCDB      1LL,INTRO BIOLOGY LAB I,Closed,"['NGUYEN A T', 'CHRISTOFFERSE', 'FINKELSTEIN R', 'FISHER W S']",T,9:00 am - 11:50am,BSIF 2112,7 / 20
MCDB      1LL,INTRO BIOLOGY LAB I,Closed,"['NGUYEN A T', 'CHRISTOFFERSE', 'FINKELSTEIN R', 'VANDER ZEE D']",T,3:30pm - 6:20pm,BSIF 2211,16 / 20
MCDB      1LL,INTRO BIOLOGY LAB I,Closed,"['NGUYEN A T', 'CHRISTOFFERSE', 'FINKELSTEIN R', 'DICKSON K L']",T,3:30pm - 6:20pm,BSIF 2112,14 / 20
MCDB      1LL,INTRO BIOLOGY LAB I,Closed,"['NGUYEN A T', 'CHRISTOFFERSE', 'FINKELSTEIN R', 'VANDER ZEE D']",T,6:30pm - 9:20pm,BSIF 2211,12 / 20
MCDB      1LL,INTRO BIOLOGY LAB I,Closed,"['NGUYEN A T', 'CHRISTOFFERSE', 'FINKELSTEIN R', 'BOURGEOIS B C']",T,6:30pm - 9:20pm,BSIF 2112,12 / 20
MCDB      1LL,INTRO BIOLOGY LAB I,Closed,"['NGUYEN A T', 'CHRISTOFFERSE', 'FINKELSTEIN R', 'IGNATENKO D A']",W,9:00 am - 11:50am,BSIF 2211,4 / 20
MCDB      1LL,INTRO BIOLOGY LAB I,Closed,"['NGUYEN A T', 'CHRISTOFFERSE', 'FINKELSTEIN R', 'COSTELLO M S']",W,3:30pm - 6:20pm,BSIF 2211,18 / 20
MCDB     84  ,INTERNSHIP BIOLOGY,Full,T B A,,,T B A,0 / 0
MCDB     92  ,SPECIAL TOPICS,Full,T B A,,,T B A,0 / 0
MCDB     99  ,INTRO TO RESEARCH,,T B A,,,T B A,0 / 5
MCDB    101A ,MOLEC. GENETICS I,,THROWER D A,MTWR,9:30 am - 10:35am,LSB  1001,114 / 125
MCDB    101A ,,,KOPPERMAN A J,T,12:30pm - 1:50pm,HSSB 1210,20 / 25
MCDB    101A ,,Full,AKBARI M,W,2:00pm - 3:20pm,HSSB 1214,25 / 25
MCDB    101A ,,,AKBARI M,W,12:30pm - 1:50pm,HSSB 1214,24 / 25
MCDB    101A ,,,AKBARI M,R,12:30pm - 1:50pm,PHELP1445,24 / 25
MCDB    101A ,,,KOPPERMAN A J,M,12:30pm - 1:50pm,PHELP1445,21 / 25
MCDB    101B ,MOLEC GENETICS II,Full,CHRISTOFFERSE,MTWR,9:30 am - 10:35am,LSB  1001,75 / 75
MCDB    101B ,,Full,,M,12:30pm - 1:50pm,BSIF 1217,25 / 25
MCDB    101B ,,Full,,W,11:00am - 12:20pm,BSIF 1217,25 / 25
MCDB    101B ,,Full,,M,2:00pm - 3:20pm,BSIF 1217,25 / 25
MCDB W  108A ,GENERAL BIOCHEM,,SEARS D W,,,T B A,31 / 75
MCDB W  108A ,,,"['SOLLEY S C', 'GORDON R W']",,,T B A,31 / 75
MCDB    111  ,HUMAN PHYSIOLOGY,Full,THROWER D A,MTW,12:30pm - 1:55pm,HFH  1104,175 / 175
MCDB    111  ,,Full,,R,9:30 am - 10:50am,HSSB 1215,25 / 25
MCDB    111  ,,Full,,R,12:30pm - 1:50pm,BUCHN1934,25 / 25
MCDB    111  ,,Full,,R,2:00pm - 3:20pm,HSSB 1228,25 / 25
MCDB    111  ,,Full,,R,11:00am - 12:20pm,LSB  1101,25 / 25
MCDB    111  ,,Full,,W,2:00pm - 3:20pm,HSSB 1236,25 / 25
MCDB    111  ,,Full,,W,3:30pm - 4:50pm,HSSB 1224,25 / 25
MCDB    111  ,,Full,,W,11:00am - 12:20pm,HSSB 1228,25 / 25
MCDB W  138  ,MEDICAL IMMUNOLOGY,,SEARS D W,,,ONLINE,52 / 60
MCDB W  138  ,,,,,,ONLINE,52 / 60
MCDB    161L ,RES IMMER MOL BIO,,GUZMAN E B,MTWR,9:00 am - 1:50pm,BSIF 2239,13 / 20
MCDB    161L ,,,,MTW,12:00pm - 1:50pm,LSB  1101,13 / 20
MCDB    161L ,,,GUZMAN E B,MTWR,2:00pm - 2:50pm,BSIF 2239,13 / 20
MCDB    183  ,TEACHING ASSISTANCE,,T B A,,,T B A,0 / 20
MCDB    184  ,INTERNSHIP BIOLOGY,,T B A,,,T B A,0 / 15
MCDB    192  ,SPECIAL TOPICS,,T B A,,,T B A,0 / 10
MCDB    197  ,DIRECTED STUDIES,,T B A,,,T B A,0 / 15
MCDB    198  ,DIRECTED READINGS,,T B A,,,T B A,0 / 5
MCDB    199  ,INDEPENDENT STUDIES,,T B A,,,T B A,0 / 20
MUS      11  ,FUNDAMENTALS OF MUS,,THOMPSON B L,MTWR,9:30 am - 10:50am,MUSIC1145,27 / 32
MUS      11  ,,,BAUSCH T C,F,9:30 am - 10:50am,MUSIC1213,10 / 18
MUS      11  ,,,BAUSCH T C,F,11:00am - 12:20pm,MUSIC1213,17 / 18
MUS      11  ,FUNDAMENTALS OF MUS,Full,MURNANE E H,MTWR,12:30pm - 1:50pm,MUSIC1145,69 / 64
MUS      11  ,,Full,VANCHELLA E C,F,12:30pm - 1:50pm,MUSIC1232,18 / 16
MUS      11  ,,Full,VANCHELLA E C,F,2:00pm - 3:20pm,MUSIC1232,18 / 16
MUS      11  ,,,CASSIDY T C,F,9:30 am - 10:50am,MUSIC1232,15 / 16
MUS      11  ,,Full,CASSIDY T C,F,11:00am - 12:20pm,MUSIC1232,18 / 16
MUS      15  ,MUSIC APPRECIATION,,CLEMENTZ M C,MTWR,12:30pm - 1:35pm,MUSIC1145,71 / 80
MUS      15  ,,,HOCK M A,F,9:30 am - 10:50am,MUSIC1207,18 / 20
MUS      15  ,,Full,HOCK M A,F,11:00am - 12:20pm,MUSIC1207,20 / 20
MUS      15  ,,,CHOI STEPH,F,12:30pm - 1:50pm,MUSIC1207,19 / 20
MUS      15  ,,,CHOI STEPH,F,2:00pm - 3:20pm,MUSIC1207,14 / 20
MUS      15  ,MUSIC APPRECIATION,Full,LOMBARDINO M,MTWR,9:30 am - 10:35am,MUSIC1145,61 / 60
MUS      15  ,,Full,WILLIAMS M L,F,9:30 am - 10:50am,MUSIC1207,15 / 15
MUS      15  ,,Full,WILLIAMS M L,F,11:00am - 12:20pm,MUSIC1207,17 / 15
MUS      15  ,,Full,FISCHER J P,F,12:30pm - 1:50pm,MUSIC1207,15 / 15
MUS      15  ,,,FISCHER J P,F,2:00pm - 3:20pm,MUSIC1207,14 / 15
MUS      17  ,WORLD MUSIC,Full,MUNK E N,MTWR,11:00am - 12:05pm,MUSIC1145,42 / 42
MUS      17  ,,Full,WEISS K C,F,11:00am - 12:20pm,MUSIC1145,21 / 21
MUS      17  ,,Full,WEISS K C,F,9:30 am - 10:50am,MUSIC1145,21 / 21
MUS     114  ,MUSIC & POP CULTURE,,RAGHEB N J,MTWR,2:00pm - 3:05pm,MUSIC1145,34 / 52
MUS     114  ,,,THOMSON S B,F,1:00pm - 2:20pm,MUSIC1145,17 / 26
MUS     114  ,,,THOMSON S B,F,2:30pm - 3:50pm,MUSIC1145,17 / 26
MUS     114  ,MUSIC & POP CULTURE,Full,KALE S K,MTWR,2:00pm - 3:05pm,MUSIC1145,52 / 52
MUS     114  ,,Full,OSHIRO D K,F,1:00pm - 2:20pm,MUSIC1145,26 / 26
MUS     114  ,,Full,OSHIRO D K,F,2:30pm - 3:50pm,MUSIC1145,26 / 26
PHIL      1  ,SHORT INTRO TO PHIL,,BRITTON C J,MTWR,9:30 am - 10:35am,ARTS 1353,33 / 50
PHIL      1  ,,,COMAN D,T,12:30pm - 1:50pm,HSSB 1211,13 / 25
PHIL      1  ,,,COMAN D,R,11:00am - 12:20pm,LSB  1101,20 / 25
PHIL      3  ,CRITICAL THINKING,Full,KYLER B E,MTWR,9:30 am - 10:35am,HSSB 1173,62 / 61
PHIL      3  ,,Full,PIERCE S G,W,4:00pm - 5:20pm,HSSB 1223,25 / 18
PHIL      3  ,,,PIERCE S G,T,4:00pm - 5:20pm,HSSB 1215,12 / 25
PHIL      3  ,,Full,PIERCE S G,R,4:00pm - 5:20pm,LSB  1101,25 / 18
PHIL      4  ,INTRO ETHICS,Full,LEBRUN A S,MTWR,11:00am - 12:05pm,PSYCH1924,96 / 72
PHIL      4  ,,Full,NEIDLINGER J,M,2:00pm - 3:20pm,HSSB 1224,25 / 18
PHIL      4  ,,Full,NEIDLINGER J,T,2:00pm - 3:20pm,HSSB 1228,23 / 18
PHIL      4  ,,Full,DICKEY K M,M,12:30pm - 1:50pm,BUCHN1934,24 / 18
PHIL      4  ,,Full,DICKEY K M,T,12:30pm - 1:50pm,BUCHN1934,24 / 18
PHIL      4  ,INTRO ETHICS,,ABNEY D P,MTWR,3:30pm - 4:35pm,SH   1430,38 / 50
PHIL      4  ,,,COSTIGAN T J,T,2:00pm - 3:20pm,HSSB 1206,21 / 25
PHIL      4  ,,,COSTIGAN T J,W,2:00pm - 3:20pm,HSSB 1211,17 / 25
PHIL    100B ,THEORY OF KNOWLEDGE,Full,ZAHN S E,TWR,12:30pm - 1:50pm,PHELP2524,50 / 50
PHIL    100B ,,Full,KING D A,W,9:30 am - 10:50am,HSSB 1215,25 / 25
PHIL    100B ,,Full,KING D A,R,11:00am - 12:20pm,HSSB 1227,25 / 25
PHIL    100D ,PHILOSOPHY OF MIND,,FALVEY K T,TWR,11:00am - 12:20pm,PHELP1425,28 / 50
PHIL    100D ,,,PERKINS C,W,3:30pm - 4:45pm,HSSB 1223,16 / 25
PHIL    100D ,,,PERKINS C,R,3:30pm - 4:45pm,HSSB 1210,12 / 25
PHIL    112  ,PHIL OF RELIGION,Closed,BARNES D B,TWR,2:00pm - 3:20pm,NH   1105,40 / 50
PHIL    145  ,PUNISHMENT & RESPON,Full,CONKLIN S L,TWR,2:00pm - 3:20pm,PHELP1425,50 / 50
PHIL    183  ,BEGIN MODERN LOGIC,,HANSCHMANN J,TWR,12:30pm - 1:50pm,ARTS 1356,34 / 50
PHYS      1  ,BASIC PHYSICS,,POPESCU P F,MTW,2:00pm - 3:20pm,BRDA 1640,27 / 50
PHYS      1  ,,,LIU K,R,2:00pm - 3:20pm,BRDA 1640,27 / 50
PHYS      2  ,BASIC PHYSICS,,GIESSINGER E,MTW,2:00pm - 3:20pm,BRDA 1640,61 / 94
PHYS      2  ,,,LIPATOV M,R,11:00am - 12:20pm,ARTS 1356,37 / 50
PHYS      2  ,,,LIPATOV M,R,12:30pm - 1:50pm,ARTS 1349,24 / 50
PHYS      6A ,INTRODUCTORY PHYSIC,,FREUND E G,MTW,11:00am - 12:20pm,BRDA 1610,201 / 286
PHYS      6AL,INTRO EXPER PHYSICS,,"['POPESCU P F', 'BERENSTEIN D', 'KORATTI SIVAK']",T,2:00pm - 3:50pm,942  1010,21 / 24
PHYS      6AL,INTRO EXPER PHYSICS,,"['POPESCU P F', 'BERENSTEIN D', 'KORATTI SIVAK']",T,4:00pm - 5:50pm,942  1010,22 / 24
PHYS      6AL,INTRO EXPER PHYSICS,,"['POPESCU P F', 'BERENSTEIN D', 'JANGID D K']",T,6:00pm - 7:50pm,942  1010,21 / 24
PHYS      6AL,INTRO EXPER PHYSICS,,"['POPESCU P F', 'BERENSTEIN D', 'DU X']",W,2:00pm - 3:50pm,942  1010,20 / 24
PHYS      6AL,INTRO EXPER PHYSICS,,"['POPESCU P F', 'BERENSTEIN D', 'DU X']",W,4:00pm - 5:50pm,942  1010,17 / 24
PHYS      6AL,INTRO EXPER PHYSICS,,"['POPESCU P F', 'BERENSTEIN D', 'JANGID D K']",W,6:00pm - 7:50pm,942  1010,17 / 24
PHYS      6AL,INTRO EXPER PHYSICS,,"['POPESCU P F', 'BERENSTEIN D', 'VELA A H']",R,2:00pm - 3:50pm,942  1010,20 / 24
PHYS      6AL,INTRO EXPER PHYSICS,,"['POPESCU P F', 'BERENSTEIN D', 'VELA A H']",R,4:00pm - 5:50pm,942  1010,21 / 24
PHYS      6AL,INTRO EXPER PHYSICS,,"['POPESCU P F', 'BERENSTEIN D', 'VELA A H']",R,6:00pm - 7:50pm,942  1010,14 / 24
PHYS      6B ,INTRODUCTORY PHYSIC,,POPESCU P F,MTW,11:00am - 12:20pm,BRDA 1610,172 / 286
PHYS      6BL,INTRO EXPER PHYSICS,Full,"['POPESCU P F', 'BERENSTEIN D', 'KORATTI SIVAK']",T,2:00pm - 3:50pm,942  1020,24 / 24
PHYS      6BL,INTRO EXPER PHYSICS,Full,"['POPESCU P F', 'BERENSTEIN D', 'SHANKAR S C']",T,4:00pm - 5:50pm,942  1020,24 / 24
PHYS      6BL,INTRO EXPER PHYSICS,Full,"['POPESCU P F', 'BERENSTEIN D', 'KORATTI SIVAK']",W,2:00pm - 3:50pm,942  1020,24 / 24
PHYS      6BL,INTRO EXPER PHYSICS,Full,"['POPESCU P F', 'BERENSTEIN D', 'VELA A H']",W,4:00pm - 5:50pm,942  1020,24 / 24
PHYS      6BL,INTRO EXPER PHYSICS,Full,"['POPESCU P F', 'BERENSTEIN D', 'SHANKAR S C']",T,6:00pm - 7:50pm,942  1020,24 / 24
PHYS      6BL,INTRO EXPER PHYSICS,Full,"['POPESCU P F', 'BERENSTEIN D', 'VELA A H']",W,6:00pm - 7:50pm,942  1020,24 / 24
PHYS      6C ,INTRODUCTORY PHYSIC,,FREUND E G,MTW,9:30 am - 10:50am,BRDA 1610,142 / 286
PHYS      6CL,INTRO EXPER PHYSICS,Full,"['POPESCU P F', 'BERENSTEIN D', 'SHANKAR S C']",T,1:00pm - 2:50pm,942  1020,24 / 24
PHYS      6CL,INTRO EXPER PHYSICS,,"['POPESCU P F', 'BERENSTEIN D', 'SHANKAR S C']",T,3:00pm - 4:50pm,942  1020,23 / 24
PHYS      6CL,INTRO EXPER PHYSICS,,"['POPESCU P F', 'BERENSTEIN D', 'SHANKAR S C']",T,5:00pm - 6:50pm,942  1020,23 / 24
PHYS      6CL,INTRO EXPER PHYSICS,,"['POPESCU P F', 'BERENSTEIN D', 'YUAN JIAOYUE']",W,1:00pm - 2:50pm,942  1020,13 / 24
PHYS      6CL,INTRO EXPER PHYSICS,,"['POPESCU P F', 'BERENSTEIN D', 'YUAN JIAOYUE']",W,3:00pm - 4:50pm,942  1020,23 / 24
PHYS      6CL,INTRO EXPER PHYSICS,,"['POPESCU P F', 'BERENSTEIN D', 'YUAN JIAOYUE']",W,5:00pm - 6:50pm,942  1020,21 / 24
PHYS     98  ,READING IN PHYSICS,Closed,T B A,,,T B A,0 / 0
PHYS     99  ,RESEARCH IN PHYSICS,Full,T B A,,,T B A,0 / 0
PHYS    101  ,COMPLEX VARIABLES,,CARLSON J M,MTW,9:30 am - 10:50am,PHELP1508,28 / 40
PHYS    101  ,,Full,WANG SHANNON,R,9:30 am - 10:50am,PHELP1530,23 / 20
PHYS    101  ,,,WANG SHANNON,R,11:00am - 12:20pm,PHELP1530,5 / 20
PHYS    103  ,INTERMED MECHANICS,,SOLMAZ M,M W F,11:00am - 12:20pm,BIOEN1001,42 / 50
PHYS    103  ,,,AKBARI MISTAN,F,9:30 am - 10:50am,BUCHN1934,22 / 25
PHYS    103  ,,,AKBARI MISTAN,F,12:30pm - 1:50pm,BUCHN1934,20 / 25
PHYS    103  ,INTERMED MECHANICS,,KRISTIANSEN K,MTW,9:30 am - 10:50am,PHELP2516,32 / 50
PHYS    103  ,,,,R,9:30 am - 10:50am,HSSB 1224,21 / 25
PHYS    103  ,,,,R,11:00am - 12:20pm,HSSB 1211,11 / 25
PHYS    104  ,ADVANCED MECHANICS,,JONES E W,MTW,9:30 am - 10:50am,NH   1111,20 / 40
PHYS    104  ,,,LIU K,R,9:30 am - 10:50am,387  1011,20 / 40
PHYS    110A ,ELECTROMAGNETISM,,SHADKHOO S,MTW,12:30pm - 1:45pm,NH   1105,46 / 54
PHYS    110A ,,Full,JANGID D K,T,2:00pm - 3:20pm,GIRV 1116,38 / 27
PHYS    110A ,,,JANGID D K,M,2:00pm - 3:20pm,GIRV 1116,8 / 27
PHYS    115A ,QUANTUM MECHANICS,,BIBILASHVILI,M W F,11:00am - 12:20pm,GIRV 1112,35 / 40
PHYS    115A ,,,PERKINS J N,R,11:00am - 12:20pm,GIRV 1108,17 / 20
PHYS    115A ,,,PERKINS J N,R,9:30 am - 10:50am,GIRV 1108,18 / 20
PHYS    115C ,QUANTUM MECHANICS,,BIBILASHVILI,M W F,2:00pm - 3:20pm,GIRV 1112,31 / 40
PHYS    115C ,,,PERKINS J N,F,11:00am - 12:20pm,GIRV 1112,17 / 20
PHYS    115C ,,,PERKINS J N,F,12:30pm - 1:50pm,GIRV 1112,14 / 20
PHYS    119A ,THERMO & STAT PHYS,Full,BIBILASHVILI,M W F,2:00pm - 3:20pm,HFH  1104,73 / 69
PHYS    119A ,,Full,JAIN-SHARMA V,R,11:00am - 12:20pm,GIRV 1115,24 / 23
PHYS    119A ,,Full,JAIN-SHARMA V,R,12:30pm - 1:50pm,GIRV 1115,24 / 23
PHYS    119A ,,Full,JAIN-SHARMA V,R,2:00pm - 3:20pm,GIRV 1119,25 / 23
PHYS    127AL,ANALOG ELECTRONICS,,EL-SOUSSI M H,T R,11:00am - 12:20pm,HSSB 1231,22 / 24
PHYS    127AL,,Full,"['DENG Z', 'HUANG JINXI']",M W,1:00pm - 4:20pm,BRDA 2324,12 / 12
PHYS    127AL,,,"['HUANG JINXI', 'DENG Z']",T R,1:00pm - 4:20pm,BRDA 2324,10 / 12
