Course,Description,Full,Instructor,Days,Time,Location,Capacity
CLASS    40  ,,Full,ARALERE T S,R,8:00 am - 8:50 am,HSSB 1206,25 / 24
CLASS    40  ,,Full,GOODMAN G N,R,1:00pm - 1:50pm,HSSB 1211,24 / 24
CLASS    40  ,,Full,GOODMAN G N,R,4:00pm - 4:50pm,HSSB 1211,24 / 24
CLASS    40  ,,Full,ARALERE T S,W,8:00 am - 8:50 am,HSSB 1210,25 / 24
CLASS    40  ,,,PARISON A L,W,1:00pm - 1:50pm,HSSB 1214,22 / 24
CLASS    40  ,,Full,PARISON A L,W,4:00pm - 4:50pm,HSSB 1211,24 / 24
CLASS    40  ,,Full,PARISON A L,W,2:00pm - 2:50pm,HSSB 1214,24 / 24
CLASS    40  ,,Full,ERDMAN C S,T,2:00pm - 2:50pm,HSSB 1214,24 / 24
CLASS    40  ,,Full,GOODMAN G N,R,2:00pm - 2:50pm,HSSB 1214,24 / 24
CLASS    40H ,GREEK MYTH-HONORS,,GALLUCCI R,W,5:00pm - 5:50pm,HSSB 4065,16 / 25
CLASS    99  ,INTRO TO RESEARCH,Full,GALLUCCI R,T,3:30pm - 5:00pm,HSSB 4065,21 / 20
CLASS    99  ,INTRO TO RESEARCH,,GALLUCCI R,,,T B A,0 / 5
CLASS   196  ,CLASSICS INTERNSHIP,,T B A,,,T B A,0 / 1
CLASS   199  ,INDEPENDENT STUDIES,,T B A,,,T B A,0 / 1
COMM      1  ,INTRO COMMUNICATION,,MULLIN D I,MTW,11:00am - 12:20pm,HFH  1104,115 / 125
COMM      1  ,,Full,CORNEJO M C,W,12:30pm - 1:55pm,HSSB 1228,25 / 25
COMM      1  ,,,CORNEJO M C,W,2:00pm - 3:25pm,HSSB 1228,24 / 25
COMM      1  ,,,FANG C,W,12:30pm - 1:55pm,HSSB 1215,22 / 25
COMM      1  ,,,FANG C,W,2:00pm - 3:25pm,HSSB 1215,20 / 25
COMM      1  ,,,CORNEJO M C,W,3:30pm - 4:55pm,HSSB 1228,24 / 25
COMM     88  ,COMM RESEARCH METH,Closed,AUNE A K,MTW,12:30pm - 1:50pm,ARTS 1353,34 / 50
COMM     88  ,,,PETRO G,W,2:00pm - 3:25pm,PHELP2532,20 / 25
COMM     88  ,,,PETRO G,W,3:30pm - 4:55pm,PHELP2532,14 / 25
COMM     88  ,COMM RESEARCH METH,Full,HANSIA A D,MTW,12:30pm - 1:50pm,ARTS 1349,50 / 50
COMM     88  ,,Full,HAUGHTON C N,W,2:00pm - 3:25pm,HSSB 1224,25 / 25
COMM     88  ,,Full,HAUGHTON C N,W,3:30pm - 4:55pm,HSSB 1210,25 / 25
COMM     89  ,THEORIES OF COMM,Closed,HANSIA M S,MTW,9:30 am - 10:50am,SSMS 1009,33 / 50
